Date,Visitor,G,Home,G,Type,Attendance,LOG
17-10-12,Minnesota Wild,5,Chicago Blackhawks,2,,21386,02:34
17-10-12,St. Louis Blues,2,Florida Panthers,5,,10846,02:43
17-10-12,Dallas Stars,1,Nashville Predators,4,,17113,02:32
17-10-12,Buffalo Sabres,2,San Jose Sharks,3,,17402,02:30
17-10-12,Pittsburgh Penguins,4,Tampa Bay Lightning,5,,19092,02:42
17-10-12,Winnipeg Jets,4,Vancouver Canucks,2,,15589,02:32
17-10-13,New York Rangers,1,Columbus Blue Jackets,3,,15342,02:28
17-10-13,Ottawa Senators,6,Calgary Flames,0,,19289,02:33
17-10-13,Anaheim Ducks,1,Colorado Avalanche,3,,15393,02:37
17-10-13,Washington Capitals,5,New Jersey Devils,2,,13458,02:35
17-10-13,Detroit Red Wings,6,Vegas Knights,3,,17645,02:26
17-10-14,Boston Bruins,6,Arizona Coyotes,2,,14810,02:31
17-10-14,Nashville Predators,1,Chicago Blackhawks,2,OT,21564,02:39
17-10-14,Colorado Avalanche,1,Dallas Stars,3,,17967,02:33
17-10-14,Ottawa Senators,6,Edmonton Oilers,1,,18347,02:30
17-10-14,Buffalo Sabres,2,Los Angeles Kings,4,,18230,02:31
17-10-14,Columbus Blue Jackets,5,Minnesota Wild,4,OT,19064,02:40
17-10-14,Toronto Maple Leafs,4,Montreal Canadiens,3,OT,21302,02:39
17-10-14,New Jersey Devils,3,New York Rangers,2,,18006,02:30
17-10-14,Washington Capitals,2,Philadelphia Flyers,8,,19817,02:32
17-10-14,Florida Panthers,3,Pittsburgh Penguins,4,,18582,02:37
17-10-14,New York Islanders,3,San Jose Sharks,1,,17562,02:22
17-10-14,St. Louis Blues,1,Tampa Bay Lightning,2,,19092,02:26
17-10-14,Calgary Flames,5,Vancouver Canucks,2,,17074,02:33
17-10-14,Carolina Hurricanes,1,Winnipeg Jets,2,,15321,02:28
17-10-15,Buffalo Sabres,3,Anaheim Ducks,1,,15821,02:35
17-10-15,New York Islanders,2,Los Angeles Kings,3,,18230,02:22
17-10-15,Boston Bruins,1,Vegas Knights,3,,17562,02:31
17-10-16,Tampa Bay Lightning,3,Detroit Red Wings,2,,19515,02:41
17-10-17,Arizona Coyotes,1,Dallas Stars,3,,16007,02:27
17-10-17,Carolina Hurricanes,5,Edmonton Oilers,3,,18347,02:28
17-10-17,Tampa Bay Lightning,4,New Jersey Devils,5,SO,13176,02:44
17-10-17,Colorado Avalanche,1,Nashville Predators,4,,17113,02:29
17-10-17,Pittsburgh Penguins,5,New York Rangers,4,OT,18006,02:36
17-10-17,Vancouver Canucks,3,Ottawa Senators,0,,13430,02:32
17-10-17,Florida Panthers,1,Philadelphia Flyers,5,,19145,02:34
17-10-17,Montreal Canadiens,2,San Jose Sharks,5,,17377,02:28
17-10-17,Buffalo Sabres,4,Vegas Knights,5,OT,17617,02:46
17-10-17,Columbus Blue Jackets,5,Winnipeg Jets,2,,15321,02:22
17-10-17,Toronto Maple Leafs,2,Washington Capitals,0,,18506,02:24
17-10-18,Montreal Canadiens,1,Los Angeles Kings,5,,18230,02:39
17-10-18,Chicago Blackhawks,2,St. Louis Blues,5,,18752,02:29
17-10-18,Detroit Red Wings,3,Toronto Maple Leafs,6,,19158,02:34
17-10-19,Dallas Stars,5,Arizona Coyotes,4,,11225,02:28
17-10-19,Vancouver Canucks,3,Boston Bruins,6,,17565,02:34
17-10-19,Tampa Bay Lightning,2,Columbus Blue Jackets,0,,13155,02:23
17-10-19,Carolina Hurricanes,2,Calgary Flames,1,,18119,02:25
17-10-19,Edmonton Oilers,2,Chicago Blackhawks,1,OT,21444,02:37
17-10-19,St. Louis Blues,4,Colorado Avalanche,3,,13890,02:28
17-10-19,New York Islanders,4,New York Rangers,3,SO,18006,02:48
17-10-19,New Jersey Devils,5,Ottawa Senators,4,OT,13364,02:48
17-10-19,Nashville Predators,1,Philadelphia Flyers,0,,19396,02:22
17-10-20,Montreal Canadiens,2,Anaheim Ducks,6,,17174,02:48
17-10-20,Vancouver Canucks,4,Buffalo Sabres,2,,18050,02:39
17-10-20,Washington Capitals,4,Detroit Red Wings,3,OT,19515,02:36
17-10-20,Pittsburgh Penguins,4,Florida Panthers,3,,15756,02:41
17-10-20,San Jose Sharks,3,New Jersey Devils,0,,14381,02:25
17-10-20,Minnesota Wild,3,Winnipeg Jets,4,,15321,02:33
17-10-21,Chicago Blackhawks,4,Arizona Coyotes,2,,13777,02:40
17-10-21,Buffalo Sabres,5,Boston Bruins,4,OT,17565,02:43
17-10-21,Los Angeles Kings,6,Columbus Blue Jackets,4,,15329,02:36
17-10-21,Minnesota Wild,4,Calgary Flames,2,,18436,02:34
17-10-21,Carolina Hurricanes,3,Dallas Stars,4,,18023,02:29
17-10-21,San Jose Sharks,3,New York Islanders,5,,11877,02:24
17-10-21,Nashville Predators,2,New York Rangers,4,,17181,02:21
17-10-21,Toronto Maple Leafs,3,Ottawa Senators,6,,17455,02:41
17-10-21,Edmonton Oilers,1,Philadelphia Flyers,2,,19510,02:21
17-10-21,Pittsburgh Penguins,1,Tampa Bay Lightning,7,,19092,02:36
17-10-21,St. Louis Blues,2,Vegas Knights,3,OT,17883,02:49
17-10-21,Florida Panthers,4,Washington Capitals,1,,18506,02:41
17-10-22,Vancouver Canucks,4,Detroit Red Wings,1,,19515,02:27
17-10-23,San Jose Sharks,4,New York Rangers,1,,18006,02:21
17-10-23,Los Angeles Kings,2,Toronto Maple Leafs,3,,19235,02:43
17-10-24,Detroit Red Wings,0,Buffalo Sabres,1,,16882,02:32
17-10-24,Tampa Bay Lightning,5,Carolina Hurricanes,1,,10498,02:28
17-10-24,Dallas Stars,3,Colorado Avalanche,5,,12823,02:30
17-10-24,Vancouver Canucks,1,Minnesota Wild,0,,18694,02:32
17-10-24,Florida Panthers,1,Montreal Canadiens,5,,21302,02:27
17-10-24,Calgary Flames,3,Nashville Predators,2,SO,17113,02:53
17-10-24,Arizona Coyotes,3,New York Islanders,5,,9795,02:34
17-10-24,Los Angeles Kings,3,Ottawa Senators,2,SO,14034,02:45
17-10-24,Anaheim Ducks,6,Philadelphia Flyers,2,,18895,02:30
17-10-24,Edmonton Oilers,1,Pittsburgh Penguins,2,OT,18625,02:27
17-10-24,Chicago Blackhawks,2,Vegas Knights,4,,18108,02:29
17-10-25,Buffalo Sabres,1,Columbus Blue Jackets,5,,14383,02:36
17-10-25,Calgary Flames,2,St. Louis Blues,5,,17227,02:23
17-10-26,San Jose Sharks,1,Boston Bruins,2,,17565,02:31
17-10-26,Dallas Stars,4,Edmonton Oilers,5,,18347,02:39
17-10-26,Anaheim Ducks,3,Florida Panthers,8,,10545,02:33
17-10-26,New York Islanders,4,Minnesota Wild,6,,18824,02:32
17-10-26,Los Angeles Kings,4,Montreal Canadiens,0,,21302,02:34
17-10-26,Arizona Coyotes,2,New York Rangers,5,,18006,02:30
17-10-26,Philadelphia Flyers,4,Ottawa Senators,5,,14926,02:39
17-10-26,Winnipeg Jets,1,Pittsburgh Penguins,2,OT,18445,02:34
17-10-26,Detroit Red Wings,2,Tampa Bay Lightning,3,,19092,02:27
17-10-26,Carolina Hurricanes,6,Toronto Maple Leafs,3,,19070,02:32
17-10-26,Washington Capitals,2,Vancouver Canucks,6,,18293,02:34
17-10-27,St. Louis Blues,2,Carolina Hurricanes,1,,10069,02:30
17-10-27,Winnipeg Jets,1,Columbus Blue Jackets,2,OT,14224,02:33
17-10-27,Dallas Stars,2,Calgary Flames,1,,18873,02:32
17-10-27,Nashville Predators,2,Chicago Blackhawks,1,,21524,02:31
17-10-27,Ottawa Senators,4,New Jersey Devils,5,SO,13763,02:45
17-10-27,Colorado Avalanche,0,Vegas Knights,7,,17702,02:35
17-10-28,Los Angeles Kings,2,Boston Bruins,1,OT,17565,02:47
17-10-28,San Jose Sharks,3,Buffalo Sabres,2,,18892,02:29
17-10-28,Chicago Blackhawks,3,Colorado Avalanche,6,,17360,02:34
17-10-28,Washington Capitals,5,Edmonton Oilers,2,,18347,02:27
17-10-28,Detroit Red Wings,3,Florida Panthers,2,SO,13085,02:59
17-10-28,Pittsburgh Penguins,1,Minnesota Wild,2,,19064,02:25
17-10-28,New York Rangers,4,Montreal Canadiens,5,,21302,02:38
17-10-28,Arizona Coyotes,3,New Jersey Devils,4,,15132,02:39
17-10-28,New York Islanders,6,Nashville Predators,2,,17113,02:28
17-10-28,Columbus Blue Jackets,1,St. Louis Blues,4,,17834,02:26
17-10-28,Anaheim Ducks,4,Tampa Bay Lightning,1,,19092,02:35
17-10-28,Philadelphia Flyers,4,Toronto Maple Leafs,2,,19317,02:33
17-10-29,Anaheim Ducks,4,Carolina Hurricanes,3,SO,10108,02:36
17-10-29,Washington Capitals,1,Calgary Flames,2,,18327,02:28
17-10-29,Pittsburgh Penguins,1,Winnipeg Jets,7,,15321,02:31
17-10-30,Boston Bruins,3,Columbus Blue Jackets,4,SO,13396,02:42
17-10-30,Tampa Bay Lightning,8,Florida Panthers,5,,9493,02:40
17-10-30,Vegas Knights,3,New York Islanders,6,,11113,02:31
17-10-30,Montreal Canadiens,8,Ottawa Senators,3,,15069,02:35
17-10-30,Arizona Coyotes,4,Philadelphia Flyers,3,OT,18731,02:44
17-10-30,Toronto Maple Leafs,2,San Jose Sharks,3,,17562,02:25
17-10-30,Los Angeles Kings,2,St. Louis Blues,4,,17423,02:33
17-10-30,Dallas Stars,2,Vancouver Canucks,1,OT,17109,02:34
17-10-31,Arizona Coyotes,3,Detroit Red Wings,5,,19515,02:31
17-10-31,Winnipeg Jets,2,Minnesota Wild,1,,18814,02:29
17-10-31,Vegas Knights,4,New York Rangers,6,,17294,02:33
17-11-01,Toronto Maple Leafs,3,Anaheim Ducks,1,,15628,02:28
17-11-01,Philadelphia Flyers,0,Chicago Blackhawks,3,,21524,02:30
17-11-01,Pittsburgh Penguins,3,Edmonton Oilers,2,,18347,02:35
17-11-01,Nashville Predators,1,San Jose Sharks,4,,16543,02:25
17-11-01,New Jersey Devils,2,Vancouver Canucks,0,,16855,02:28
17-11-02,Buffalo Sabres,5,Arizona Coyotes,4,,11477,02:20
17-11-02,Vegas Knights,1,Boston Bruins,2,,17565,02:27
17-11-02,Pittsburgh Penguins,1,Calgary Flames,2,OT,18837,02:32
17-11-02,Carolina Hurricanes,3,Colorado Avalanche,5,,12048,02:36
17-11-02,Columbus Blue Jackets,7,Florida Panthers,3,,9311,02:34
17-11-02,Toronto Maple Leafs,3,Los Angeles Kings,5,,18230,02:36
17-11-02,Montreal Canadiens,3,Minnesota Wild,6,,18924,02:36
17-11-02,Detroit Red Wings,1,Ottawa Senators,3,,14724,02:28
17-11-02,Philadelphia Flyers,2,St. Louis Blues,0,,17162,02:29
17-11-02,New York Rangers,2,Tampa Bay Lightning,1,OT,19092,02:46
17-11-02,Dallas Stars,2,Winnipeg Jets,5,,15321,02:37
17-11-02,New York Islanders,3,Washington Capitals,4,,18506,02:24
17-11-03,Nashville Predators,5,Anaheim Ducks,3,,16523,02:32
17-11-03,New Jersey Devils,3,Edmonton Oilers,6,,18347,02:31
17-11-04,Carolina Hurricanes,1,Arizona Coyotes,2,SO,12019,02:35
17-11-04,Washington Capitals,3,Boston Bruins,2,,17565,02:26
17-11-04,Buffalo Sabres,1,Dallas Stars,5,,18236,02:20
17-11-04,New York Rangers,5,Florida Panthers,4,OT,15036,02:37
17-11-04,Nashville Predators,4,Los Angeles Kings,3,OT,18230,02:45
17-11-04,Chicago Blackhawks,2,Minnesota Wild,0,,19218,02:26
17-11-04,Vegas Knights,5,Ottawa Senators,4,,16824,02:40
17-11-04,Colorado Avalanche,5,Philadelphia Flyers,4,SO,19616,02:44
17-11-04,Anaheim Ducks,1,San Jose Sharks,2,SO,17562,02:49
17-11-04,Toronto Maple Leafs,4,St. Louis Blues,6,,19046,02:30
17-11-04,Columbus Blue Jackets,4,Tampa Bay Lightning,5,SO,19092,02:45
17-11-04,Pittsburgh Penguins,2,Vancouver Canucks,4,,18865,02:35
17-11-04,Montreal Canadiens,5,Winnipeg Jets,4,OT,15321,02:40
17-11-05,New Jersey Devils,4,Calgary Flames,5,SO,17839,02:45
17-11-05,Montreal Canadiens,2,Chicago Blackhawks,0,,21871,02:25
17-11-05,Detroit Red Wings,4,Edmonton Oilers,0,,18347,02:28
17-11-05,Colorado Avalanche,4,New York Islanders,6,,10927,02:38
17-11-06,Minnesota Wild,3,Boston Bruins,5,,17565,02:40
17-11-06,Winnipeg Jets,4,Dallas Stars,1,,17895,02:30
17-11-06,Columbus Blue Jackets,3,New York Rangers,5,,17348,02:30
17-11-06,Vegas Knights,3,Toronto Maple Leafs,4,SO,19398,02:44
17-11-06,Detroit Red Wings,3,Vancouver Canucks,2,,17836,02:38
17-11-06,Arizona Coyotes,2,Washington Capitals,3,OT,18506,02:39
17-11-07,Los Angeles Kings,4,Anaheim Ducks,3,OT,16637,02:50
17-11-07,Washington Capitals,1,Buffalo Sabres,3,,17146,02:25
17-11-07,Florida Panthers,1,Carolina Hurricanes,3,,8828,02:29
17-11-07,Nashville Predators,3,Columbus Blue Jackets,1,,14996,02:26
17-11-07,Vancouver Canucks,5,Calgary Flames,3,,18160,02:28
17-11-07,Vegas Knights,2,Montreal Canadiens,3,,21302,02:27
17-11-07,St. Louis Blues,3,New Jersey Devils,1,,12317,02:29
17-11-07,Edmonton Oilers,2,New York Islanders,1,OT,12281,02:28
17-11-07,Arizona Coyotes,1,Pittsburgh Penguins,3,,18498,02:30
17-11-08,Boston Bruins,2,New York Rangers,4,,18006,02:25
17-11-08,Tampa Bay Lightning,5,San Jose Sharks,1,,17044,02:21
17-11-08,Minnesota Wild,2,Toronto Maple Leafs,4,,19049,02:29
17-11-09,Vancouver Canucks,1,Anaheim Ducks,4,,16038,02:30
17-11-09,Detroit Red Wings,3,Calgary Flames,6,,18788,02:33
17-11-09,Tampa Bay Lightning,5,Los Angeles Kings,2,,18230,02:38
17-11-09,Minnesota Wild,3,Montreal Canadiens,0,,21302,02:42
17-11-09,Edmonton Oilers,3,New Jersey Devils,2,OT,16514,02:40
17-11-09,Chicago Blackhawks,1,Philadelphia Flyers,3,,19738,02:35
17-11-09,Arizona Coyotes,2,St. Louis Blues,3,SO,18156,02:43
17-11-10,Florida Panthers,4,Buffalo Sabres,1,,17812,02:33
17-11-10,Carolina Hurricanes,3,Columbus Blue Jackets,1,,16049,02:17
17-11-10,Ottawa Senators,4,Colorado Avalanche,3,OT,13396,02:34
17-11-10,New York Islanders,0,Dallas Stars,5,,18342,02:25
17-11-10,Boston Bruins,2,Toronto Maple Leafs,3,OT,19381,02:53
17-11-10,Winnipeg Jets,2,Vegas Knights,5,,18110,02:34
17-11-10,Pittsburgh Penguins,1,Washington Capitals,4,,18506,02:33
17-11-11,Winnipeg Jets,4,Arizona Coyotes,1,,16078,02:25
17-11-11,Toronto Maple Leafs,4,Boston Bruins,1,,17565,02:34
17-11-11,Chicago Blackhawks,4,Carolina Hurricanes,3,OT,16778,02:23
17-11-11,Columbus Blue Jackets,2,Detroit Red Wings,1,SO,19515,02:39
17-11-11,Buffalo Sabres,1,Montreal Canadiens,2,OT,21302,02:30
17-11-11,Florida Panthers,1,New Jersey Devils,2,,16514,02:24
17-11-11,Pittsburgh Penguins,4,Nashville Predators,5,SO,17397,02:49
17-11-11,Edmonton Oilers,2,New York Rangers,4,,18006,02:32
17-11-11,Colorado Avalanche,3,Ottawa Senators,4,,13396,02:43
17-11-11,Minnesota Wild,1,Philadelphia Flyers,0,,19309,02:25
17-11-11,Vancouver Canucks,0,San Jose Sharks,5,,17562,02:26
17-11-11,New York Islanders,5,St. Louis Blues,2,,18761,02:36
17-11-12,Tampa Bay Lightning,2,Anaheim Ducks,1,,15707,02:41
17-11-12,New Jersey Devils,7,Chicago Blackhawks,5,,21487,02:38
17-11-12,San Jose Sharks,2,Los Angeles Kings,1,,18230,02:28
17-11-12,Edmonton Oilers,1,Washington Capitals,2,SO,18506,02:38
17-11-13,Dallas Stars,1,Carolina Hurricanes,5,,7968,02:30
17-11-13,St. Louis Blues,4,Calgary Flames,7,,18519,02:28
17-11-14,Vegas Knights,2,Edmonton Oilers,8,,18347,02:31
17-11-14,Dallas Stars,3,Florida Panthers,4,SO,10928,02:45
17-11-14,Vancouver Canucks,3,Los Angeles Kings,2,,18230,02:37
17-11-14,Philadelphia Flyers,0,Minnesota Wild,3,,18768,02:20
17-11-14,Columbus Blue Jackets,2,Montreal Canadiens,1,OT,21302,02:28
17-11-14,Washington Capitals,3,Nashville Predators,6,,17113,02:32
17-11-14,Buffalo Sabres,4,Pittsburgh Penguins,5,OT,18438,02:39
17-11-14,Arizona Coyotes,1,Winnipeg Jets,4,,15321,02:28
17-11-15,Boston Bruins,2,Anaheim Ducks,4,,15089,02:30
17-11-15,New York Rangers,3,Chicago Blackhawks,6,,21528,02:32
17-11-15,Calgary Flames,2,Detroit Red Wings,8,,19515,02:37
17-11-16,Washington Capitals,2,Colorado Avalanche,6,,15070,02:45
17-11-16,St. Louis Blues,4,Edmonton Oilers,1,,18347,02:27
17-11-16,Boston Bruins,2,Los Angeles Kings,1,,18230,02:36
17-11-16,Nashville Predators,4,Minnesota Wild,6,,18888,02:43
17-11-16,Arizona Coyotes,5,Montreal Canadiens,4,,21302,02:37
17-11-16,Carolina Hurricanes,4,New York Islanders,6,,11188,02:30
17-11-16,Pittsburgh Penguins,3,Ottawa Senators,1,,17144,02:28
17-11-16,Florida Panthers,2,San Jose Sharks,0,,16411,02:34
17-11-16,Dallas Stars,1,Tampa Bay Lightning,6,,19092,02:31
17-11-16,New Jersey Devils,0,Toronto Maple Leafs,1,OT,19202,02:40
17-11-16,Vegas Knights,5,Vancouver Canucks,2,,18119,02:32
17-11-16,Philadelphia Flyers,2,Winnipeg Jets,3,SO,15321,02:54
17-11-17,New York Rangers,0,Columbus Blue Jackets,2,,17093,02:24
17-11-17,Buffalo Sabres,1,Detroit Red Wings,3,,19515,02:27
17-11-18,Carolina Hurricanes,3,Buffalo Sabres,1,,18028,02:28
17-11-18,Edmonton Oilers,3,Dallas Stars,6,,18312,02:35
17-11-18,Florida Panthers,0,Los Angeles Kings,4,,18230,02:29
17-11-18,Toronto Maple Leafs,6,Montreal Canadiens,0,,21302,02:33
17-11-18,Colorado Avalanche,2,Nashville Predators,5,,17113,02:30
17-11-18,Arizona Coyotes,3,Ottawa Senators,2,OT,16471,02:29
17-11-18,Calgary Flames,5,Philadelphia Flyers,4,OT,19210,02:32
17-11-18,Chicago Blackhawks,2,Pittsburgh Penguins,1,,18638,02:36
17-11-18,Boston Bruins,3,San Jose Sharks,1,,17442,02:36
17-11-18,New York Islanders,5,Tampa Bay Lightning,3,,19092,02:24
17-11-18,St. Louis Blues,4,Vancouver Canucks,3,OT,18865,02:31
17-11-18,New Jersey Devils,2,Winnipeg Jets,5,,15321,02:27
17-11-18,Minnesota Wild,1,Washington Capitals,3,,18506,02:34
17-11-19,Florida Panthers,2,Anaheim Ducks,3,,17174,02:40
17-11-19,New York Islanders,2,Carolina Hurricanes,4,,11390,02:25
17-11-19,Colorado Avalanche,4,Detroit Red Wings,3,OT,19515,02:39
17-11-19,Ottawa Senators,0,New York Rangers,3,,17524,02:21
17-11-19,Los Angeles Kings,2,Vegas Knights,4,,18211,02:31
17-11-20,Columbus Blue Jackets,3,Buffalo Sabres,2,,16551,02:27
17-11-20,New Jersey Devils,4,Minnesota Wild,3,OT,19048,02:41
17-11-20,Winnipeg Jets,3,Nashville Predators,5,,17113,02:44
17-11-20,Anaheim Ducks,3,San Jose Sharks,2,SO,17257,02:49
17-11-20,Arizona Coyotes,4,Toronto Maple Leafs,1,,19196,02:31
17-11-20,Calgary Flames,4,Washington Capitals,1,,18506,02:25
17-11-21,Montreal Canadiens,1,Dallas Stars,3,,18532,02:41
17-11-21,Vancouver Canucks,5,Philadelphia Flyers,2,,19278,02:32
17-11-21,Edmonton Oilers,3,St. Louis Blues,8,,18819,02:27
17-11-22,Vegas Knights,4,Anaheim Ducks,2,,17174,02:35
17-11-22,San Jose Sharks,3,Arizona Coyotes,1,,11214,02:24
17-11-22,Minnesota Wild,5,Buffalo Sabres,4,,17418,02:29
17-11-22,New York Rangers,6,Carolina Hurricanes,1,,11398,02:25
17-11-22,Calgary Flames,0,Columbus Blue Jackets,1,OT,16290,02:20
17-11-22,Dallas Stars,0,Colorado Avalanche,3,,14874,02:27
17-11-22,Edmonton Oilers,6,Detroit Red Wings,2,,19515,02:26
17-11-22,Toronto Maple Leafs,1,Florida Panthers,2,SO,15256,02:45
17-11-22,Winnipeg Jets,2,Los Angeles Kings,1,,18230,02:38
17-11-22,Boston Bruins,3,New Jersey Devils,2,SO,16514,02:51
17-11-22,Montreal Canadiens,2,Nashville Predators,3,SO,17113,02:46
17-11-22,Philadelphia Flyers,3,New York Islanders,4,OT,12462,02:39
17-11-22,Vancouver Canucks,5,Pittsburgh Penguins,2,,18606,02:29
17-11-22,Chicago Blackhawks,2,Tampa Bay Lightning,3,OT,19092,02:34
17-11-22,Ottawa Senators,2,Washington Capitals,5,,18506,02:27
17-11-24,Winnipeg Jets,4,Anaheim Ducks,1,,16035,02:31
17-11-24,Los Angeles Kings,2,Arizona Coyotes,3,OT,12285,02:33
17-11-24,Pittsburgh Penguins,3,Boston Bruins,4,,17565,02:34
17-11-24,Edmonton Oilers,1,Buffalo Sabres,3,,19070,02:39
17-11-24,Toronto Maple Leafs,5,Carolina Hurricanes,4,,15241,02:22
17-11-24,Ottawa Senators,2,Columbus Blue Jackets,5,,17084,02:30
17-11-24,Calgary Flames,4,Dallas Stars,6,,18532,02:37
17-11-24,Colorado Avalanche,2,Minnesota Wild,3,SO,19084,02:33
17-11-24,Vancouver Canucks,2,New Jersey Devils,3,,16514,02:23
17-11-24,Detroit Red Wings,1,New York Rangers,2,OT,18006,02:41
17-11-24,New York Islanders,5,Philadelphia Flyers,4,OT,19643,02:36
17-11-24,Nashville Predators,2,St. Louis Blues,0,,19033,02:27
17-11-24,San Jose Sharks,4,Vegas Knights,5,OT,18094,02:40
17-11-24,Tampa Bay Lightning,1,Washington Capitals,3,,18506,02:25
17-11-25,Vegas Knights,4,Arizona Coyotes,2,,13226,02:29
17-11-25,Calgary Flames,3,Colorado Avalanche,2,,15738,02:23
17-11-25,New Jersey Devils,4,Detroit Red Wings,3,OT,19515,02:53
17-11-25,Chicago Blackhawks,4,Florida Panthers,1,,14302,02:21
17-11-25,Anaheim Ducks,1,Los Angeles Kings,2,SO,18230,02:55
17-11-25,Buffalo Sabres,0,Montreal Canadiens,3,,21302,02:29
17-11-25,New York Islanders,2,Ottawa Senators,1,,17276,02:24
17-11-25,Tampa Bay Lightning,2,Pittsburgh Penguins,5,,18659,02:34
17-11-25,Winnipeg Jets,0,San Jose Sharks,4,,17189,02:26
17-11-25,Minnesota Wild,3,St. Louis Blues,6,,18610,02:30
17-11-25,Washington Capitals,4,Toronto Maple Leafs,2,,19404,02:27
17-11-26,Edmonton Oilers,4,Boston Bruins,2,,17565,02:20
17-11-26,Nashville Predators,3,Carolina Hurricanes,4,SO,11133,02:46
17-11-26,Vancouver Canucks,3,New York Rangers,4,SO,17632,02:37
17-11-27,Anaheim Ducks,3,Chicago Blackhawks,7,,21619,02:23
17-11-27,Columbus Blue Jackets,1,Montreal Canadiens,3,,21302,02:24
17-11-27,Florida Panthers,3,New Jersey Devils,2,,13184,02:36
17-11-27,Philadelphia Flyers,4,Pittsburgh Penguins,5,OT,18505,02:45
17-11-27,Minnesota Wild,2,Winnipeg Jets,7,,15321,02:37
17-11-28,Tampa Bay Lightning,2,Buffalo Sabres,0,,17569,02:29
17-11-28,Carolina Hurricanes,2,Columbus Blue Jackets,3,SO,13947,02:31
17-11-28,Toronto Maple Leafs,4,Calgary Flames,1,,19289,02:30
17-11-28,Los Angeles Kings,4,Detroit Red Wings,1,,19515,02:22
17-11-28,Arizona Coyotes,2,Edmonton Oilers,3,OT,18347,02:45
